"mora-addiction","Addiction","card-addiction","http://en.wiktionary.org/wiki/addiction","Vice","Compulsion, Dependence","O+","000000","Dependence upon a substance or behavior to a detrimental effect.",,
"mora-aloofness","Aloofness","card-aloofness","http://en.wiktionary.org/wiki/aloofness","Vice","Indifference, Standoffishness","R-","1C94BC","Disassociation from society.",,
"mora-caprice","Caprice","card-caprice","http://en.wiktionary.org/wiki/caprice","Vice","Aimlessness, Clumsiness, Maladroitness, Recklessness","A+","753614","Inability commit to a course of action.",,
"mora-covetousness","Covetousness","card-covetousness","http://en.wiktionary.org/wiki/covetousness","Vice","Rapacity","O+R+","416357","Desire for another's possessions.",,
"mora-cowardice","Cowardice","card-cowardice","http://en.wiktionary.org/wiki/cowardice","Vice","Fearfulness, Pusillanimity","I+E+O-a-","DD9134","Succumbing to fear to preserve self.",,"mora-courage"
"mora-deceit","Deceit","card-deceit","http://en.wiktionary.org/wiki/deceit","Vice","Deception, Deviousness, Duplicity, Imposture, Insidiousness, Sophistry, Treachery","T+T-","FE4F2D","Active use of dishonesty as a means to an end.",,
"mora-demagoguery","Demagoguery","card-demagoguery","http://en.wiktionary.org/wiki/demagoguery","Vice","Populism","R+E+O","FF1794","Manipulating population for immoral purposes.",,
"mora-denial","Denial","card-denial","http://en.wiktionary.org/wiki/denial","Vice","Dissent, Disbelief, Distrust, Doubt, Incredulity, Mistrust","O-T-","941CBA","Unwillingness to accept truth in spite of evidence.",,"mora-trust"
"mora-despair","Despair","card-despair","http://en.wiktionary.org/wiki/despair","Vice","Depression, Sadness, Sorrow","E+I+O-","1212F2","Inability to cope with negative emotions.",,
"mora-dishonesty","Dishonesty","card-dishonesty","http://en.wiktionary.org/wiki/dishonesty","Vice","Falsehood, Libel, Perjury, Slander","T-","F2E216","Purposeful distortion or concealment of truth.",,"mora-honesty"
"mora-disloyalty","Disloyalty","card-disloyalty","http://en.wiktionary.org/wiki/disloyalty","Vice","Contumacy, Disobediency, Perfidy, Unsportsmanship","R-O-","E8D257","Disregard for a legitimately authoritative figure.",,"mora-loyalty"
"mora-dispassion","Dispassion","card-dispassion","http://en.wiktionary.org/wiki/dispassion","Vice","Coldness, Cynicism, Emotionlessness","E-","B79DA4","Detachment from emotion. ",,"mora-passion"
"mora-disrespect","Disrespect","card-disrespect","http://en.wiktionary.org/wiki/disrespect","Vice","Derision, Discourtesy, Dishonor, Impoliteness, Insolence, Mockery, Ridicule, Rudeness","R-E+O-","B20771","Deliberate and directed malice towards a person or idea.",,"mora-respect"
"mora-envy","Envy","card-envy","http://en.wiktionary.org/wiki/envy","Vice","Jealousy","O+R+I","216E2F","Extreme desire for another's accomplishments or station.",,
"mora-flattery","Flattery","card-flattery","http://en.wiktionary.org/wiki/flattery","Vice","Blandishment, Sycophancy","R+I+e+","B30D19","Needless praise prescribed to another.",,
